﻿Title:,"Table 16 - HE qualifiers by HE provider and level of qualification obtained"
Subtitle:,"Academic years 2014/15 to 2020/21"
Reference ID:,DT051 Table 16
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2022
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2020/21 
Search:,


"UKPRN","HE provider","First degree","Foundation degree","HNC/HND","Professional graduate certificate in education","Other undergraduate","Total undergraduate"
"10002718","Goldsmiths College","1,575","0","0","35","100","1,710"
"10030408","Gower College Swansea","0","0","0","0","5","5"
"10007146","The University of Greenwich","3,825","70","75","150","185","4,315"
"10007825","Guildhall School of Music and Drama","190","0","0","0","5","195"
"10040812","Harper Adams University","580","45","0","0","60","685"
"10080811","Hartpury University","450","50","0","0","105","605"
"10007764","Heriot-Watt University","1,940","0","0","0","210","2,150"
"10007147","University of Hertfordshire","4,365","275","0","5","575","5,215"
"10007148","The University of Huddersfield","3,535","110","0","25","380","4,050"
"10007149","The University of Hull","3,095","75","0","0","375","3,545"
"10003239","ICON College of Technology and Management","0","0","145","0","0","145"
"10003270","Imperial College of Science, Technology and Medicine","2,910","0","0","0","10","2,915"
"10013220","Institute of Art - London Limited","0","0","0","0","0","0"
"10067388","The Institute of Ismaili Studies","0","0","0","0","0","0"
"10035638","Institute of Contemporary Music Performance","185","0","30","0","30","245"
"10082728","INTO University Partnerships Limited","0","0","0","0","65","65"
"10029682","The Islamic College","5","0","0","0","5","10"
"10082570","Kaplan International Colleges U.K. Limited","0","0","0","0","500","500"
"10021682","Kaplan Open Learning","80","0","0","0","55","135"
"10007767","Keele University","2,050","15","0","0","255","2,320"
"10003566","Kensington College of Business","25","0","70","0","5","100"
"10007150","The University of Kent","4,280","100","20","0","125","4,525"
"10003645","King's College London","5,070","0","0","5","210","5,285"
"10008325","KLC School of Design","20","20","0","0","55","100"
"10003678","Kingston University","3,035","240","15","0","465","3,755"
"10003758","LAMDA Limited","40","25","0","0","0","65"
"10007768","The University of Lancaster","3,240","0","0","0","135","3,375"
"10066551","LCCM AU UK Limited","50","0","0","0","5","55"
"10003854","Leeds Arts University","650","0","0","0","45","695"
"10003861","Leeds Beckett University","4,620","65","0","0","215","4,900"
"10003798","Le Cordon Bleu Limited","0","0","0","0","285","285"
"10034449","Leeds Conservatoire","305","35","0","0","30","375"
